gene,category,label,count,denominator,denominator_label,percent_within_gene,per_1000
BRCA1,1,Benign,519,16776,all generated coding SNVs in gene,3.09,30.94
BRCA2,1,Benign,283,30771,all generated coding SNVs in gene,0.92,9.20
BRCA1,2,Likely Benign,13755,16776,all generated coding SNVs in gene,81.99,819.92
BRCA2,2,Likely Benign,22395,30771,all generated coding SNVs in gene,72.78,727.80
BRCA1,3,VUS,1625,16776,all generated coding SNVs in gene,9.69,96.86
BRCA2,3,VUS,6529,30771,all generated coding SNVs in gene,21.22,212.18
BRCA1,4,Likely Pathogenic,64,16776,all generated coding SNVs in gene,0.38,3.81
BRCA2,4,Likely Pathogenic,77,30771,all generated coding SNVs in gene,0.25,2.50
BRCA1,5,Pathogenic,813,16776,all generated coding SNVs in gene,4.85,48.46
BRCA2,5,Pathogenic,1487,30771,all generated coding SNVs in gene,4.83,48.32
