gene,site_type,group,distance_bin,total_variants,spliceai_ge_0_1_count,spliceai_ge_0_1_percent,spliceai_ge_0_2_count,spliceai_ge_0_2_percent,spliceai_ge_0_5_count,spliceai_ge_0_5_percent,spliceai_ge_0_8_count,spliceai_ge_0_8_percent
BRCA2,acceptor_like,vus,21-50,1152,259,22.48,121,10.50,21,1.82,1,0.09
BRCA2,acceptor_like,vus,51-100,1099,259,23.57,114,10.37,19,1.73,5,0.45
BRCA2,acceptor_like,vus,>100,381,65,17.06,34,8.92,7,1.84,0,0.00
BRCA2,acceptor_like,pathogenic,0,0,0,0.00,0,0.00,0,0.00,0,0.00
BRCA2,acceptor_like,pathogenic,1-2,4,3,75.00,2,50.00,1,25.00,0,0.00
BRCA2,acceptor_like,pathogenic,3-5,16,4,25.00,2,12.50,0,0.00,0,0.00
BRCA2,acceptor_like,pathogenic,6-10,16,5,31.25,2,12.50,0,0.00,0,0.00
BRCA2,acceptor_like,pathogenic,11-20,40,16,40.00,9,22.50,1,2.50,0,0.00
BRCA2,acceptor_like,pathogenic,21-50,120,39,32.50,22,18.33,11,9.17,1,0.83
BRCA2,acceptor_like,pathogenic,51-100,104,26,25.00,14,13.46,4,3.85,1,0.96
BRCA2,acceptor_like,pathogenic,>100,495,1,0.20,1,0.20,0,0.00,0,0.00
BRCA2,donor_like,benign,0,6,0,0.00,0,0.00,0,0.00,0,0.00
BRCA2,donor_like,benign,1-2,49,1,2.04,1,2.04,0,0.00,0,0.00
BRCA2,donor_like,benign,3-5,111,0,0.00,0,0.00,0,0.00,0,0.00
BRCA2,donor_like,benign,6-10,187,2,1.07,0,0.00,0,0.00,0,0.00
BRCA2,donor_like,benign,11-20,366,5,1.37,0,0.00,0,0.00,0,0.00
BRCA2,donor_like,benign,21-50,849,6,0.71,0,0.00,0,0.00,0,0.00
BRCA2,donor_like,benign,51-100,758,4,0.53,1,0.13,0,0.00,0,0.00
BRCA2,donor_like,benign,>100,8377,4,0.05,0,0.00,0,0.00,0,0.00
BRCA2,donor_like,vus,0,60,58,96.67,51,85.00,45,75.00,36,60.00
BRCA2,donor_like,vus,1-2,77,47,61.04,31,40.26,7,9.09,2,2.60
BRCA2,donor_like,vus,3-5,107,15,14.02,10,9.35,6,5.61,2,1.87
BRCA2,donor_like,vus,6-10,170,7,4.12,3,1.76,1,0.59,1,0.59
BRCA2,donor_like,vus,11-20,342,32,9.36,15,4.39,4,1.17,2,0.58
BRCA2,donor_like,vus,21-50,1005,70,6.97,33,3.28,11,1.09,6,0.60
BRCA2,donor_like,vus,51-100,1026,109,10.62,31,3.02,10,0.97,6,0.58
BRCA2,donor_like,vus,>100,297,42,14.14,20,6.73,5,1.68,1,0.34
BRCA2,donor_like,pathogenic,0,9,8,88.89,7,77.78,5,55.56,4,44.44
BRCA2,donor_like,pathogenic,1-2,24,10,41.67,6,25.00,2,8.33,0,0.00
BRCA2,donor_like,pathogenic,3-5,7,0,0.00,0,0.00,0,0.00,0,0.00
BRCA2,donor_like,pathogenic,6-10,18,2,11.11,1,5.56,0,0.00,0,0.00
BRCA2,donor_like,pathogenic,11-20,39,7,17.95,3,7.69,0,0.00,0,0.00
BRCA2,donor_like,pathogenic,21-50,93,17,18.28,7,7.53,2,2.15,0,0.00
BRCA2,donor_like,pathogenic,51-100,88,11,12.50,2,2.27,0,0.00,0,0.00
BRCA2,donor_like,pathogenic,>100,491,4,0.81,3,0.61,1,0.20,1,0.20
