bin,relative_start_percent,relative_end_percent,brca1_benign_percent,brca2_benign_percent,diff_benign_percent,brca1_vus_percent,brca2_vus_percent,diff_vus_percent,brca1_pathogenic_percent,brca2_pathogenic_percent,diff_pathogenic_percent,brca1_high_spliceai_percent,brca2_high_spliceai_percent,diff_high_spliceai_percent,brca1_missense_percent,brca2_missense_percent,diff_missense_percent,brca1_nonsense_percent,brca2_nonsense_percent,diff_nonsense_percent,brca1_synonymous_percent,brca2_synonymous_percent,diff_synonymous_percent
31,25.00,25.83,96.45,94.90,1.55,0.00,0.00,0.00,3.55,5.10,-1.55,0.00,0.00,0.00,75.89,73.33,2.56,3.55,5.10,-1.55,20.57,21.57,-1.00
32,25.83,26.67,96.45,95.74,0.71,0.00,0.00,0.00,3.55,4.26,-0.71,0.00,0.00,0.00,72.34,75.97,-3.63,3.55,4.26,-0.71,24.11,19.77,4.34
33,26.67,27.50,94.20,95.29,-1.09,0.00,0.00,0.00,5.80,4.71,1.09,0.00,0.00,0.00,69.57,74.90,-5.33,5.80,4.71,1.09,24.64,20.39,4.25
34,27.50,28.33,95.74,94.57,1.17,0.00,0.00,0.00,4.26,5.43,-1.17,0.00,0.00,0.00,75.89,74.42,1.47,4.26,5.43,-1.17,19.86,20.16,-0.30
35,28.33,29.17,94.93,93.73,1.20,0.00,0.00,0.00,5.07,6.27,-1.20,0.00,0.00,0.00,76.81,76.47,0.34,5.07,6.27,-1.20,18.12,17.25,0.87
36,29.17,30.00,97.87,95.35,2.52,0.00,0.00,0.00,2.13,4.65,-2.52,0.00,0.00,0.00,79.43,74.81,4.62,2.13,4.65,-2.52,18.44,20.54,-2.10
37,30.00,30.83,95.04,94.51,0.53,0.00,0.00,0.00,4.96,5.49,-0.53,0.00,0.00,0.00,75.18,76.47,-1.29,4.96,5.49,-0.53,19.86,18.04,1.82
38,30.83,31.67,96.38,95.35,1.03,0.00,0.00,0.00,3.62,4.65,-1.03,0.00,0.00,0.00,77.54,74.42,3.12,3.62,4.65,-1.03,18.84,20.93,-2.09
39,31.67,32.50,95.04,95.29,-0.25,0.00,0.00,0.00,4.96,4.71,0.25,0.00,0.00,0.00,76.60,77.65,-1.05,4.96,4.71,0.25,18.44,17.65,0.79
40,32.50,33.33,97.83,92.94,4.89,0.00,0.00,0.00,2.17,7.06,-4.89,0.00,0.00,0.00,76.81,73.73,3.08,2.17,7.06,-4.89,21.01,19.22,1.79
41,33.33,34.17,97.87,96.12,1.75,0.00,0.00,0.00,2.13,3.88,-1.75,0.00,0.00,0.00,71.63,76.36,-4.73,2.13,3.88,-1.75,26.24,19.77,6.47
42,34.17,35.00,93.62,96.08,-2.46,0.00,0.00,0.00,6.38,3.92,2.46,0.00,0.00,0.00,79.43,73.73,5.70,6.38,3.92,2.46,14.18,22.35,-8.17
43,35.00,35.83,95.65,95.74,-0.09,0.00,0.00,0.00,4.35,4.26,0.09,0.00,0.00,0.00,76.81,75.19,1.62,4.35,4.26,0.09,18.84,20.54,-1.70
44,35.83,36.67,95.04,96.86,-1.82,0.00,0.00,0.00,4.96,3.14,1.82,0.00,0.00,0.00,76.60,74.51,2.09,4.96,3.14,1.82,18.44,22.35,-3.91
45,36.67,37.50,96.38,95.74,0.64,0.00,0.00,0.00,3.62,4.26,-0.64,0.00,0.00,0.00,78.26,76.74,1.52,3.62,4.26,-0.64,18.12,18.99,-0.87
46,37.50,38.33,94.33,95.29,-0.96,0.71,0.00,0.71,4.96,4.71,0.25,0.71,0.00,0.71,71.63,76.47,-4.84,4.96,4.71,0.25,23.40,18.82,4.58
47,38.33,39.17,95.04,94.96,0.08,0.00,0.00,0.00,4.96,5.04,-0.08,0.00,0.00,0.00,74.47,77.91,-3.44,4.96,5.04,-0.08,20.57,17.05,3.52
48,39.17,40.00,94.93,95.29,-0.36,0.72,0.00,0.72,4.35,4.71,-0.36,0.72,0.00,0.72,75.36,76.86,-1.50,4.35,4.71,-0.36,20.29,18.43,1.86
49,40.00,40.83,92.91,93.41,-0.50,0.71,0.00,0.71,6.38,6.59,-0.21,0.71,0.00,0.71,73.05,74.03,-0.98,6.38,6.59,-0.21,20.57,19.38,1.19
50,40.83,41.67,97.10,94.90,2.20,0.00,0.00,0.00,2.90,5.10,-2.20,0.00,0.00,0.00,74.64,75.29,-0.65,2.90,5.10,-2.20,22.46,19.61,2.85
51,41.67,42.50,92.91,96.51,-3.60,0.71,0.00,0.71,6.38,3.49,2.89,0.71,0.00,0.71,68.09,78.29,-10.20,6.38,3.49,2.89,25.53,18.22,7.31
52,42.50,43.33,95.74,94.12,1.62,0.00,0.00,0.00,4.26,5.88,-1.62,0.00,0.00,0.00,75.89,76.86,-0.97,4.26,5.88,-1.62,19.86,17.25,2.61
53,43.33,44.17,95.65,96.12,-0.47,0.00,0.00,0.00,4.35,3.88,0.47,0.00,0.00,0.00,75.36,72.48,2.88,4.35,3.88,0.47,20.29,23.64,-3.35
54,44.17,45.00,95.04,95.69,-0.65,0.00,0.00,0.00,4.96,4.31,0.65,0.00,0.00,0.00,75.89,74.12,1.77,4.96,4.31,0.65,19.15,21.57,-2.42
55,45.00,45.83,95.65,95.35,0.30,0.00,0.00,0.00,4.35,4.65,-0.30,0.00,0.00,0.00,78.26,77.52,0.74,4.35,4.65,-0.30,17.39,17.83,-0.44
56,45.83,46.67,92.20,93.33,-1.13,0.00,0.00,0.00,7.80,6.67,1.13,0.00,0.00,0.00,71.63,74.90,-3.27,7.80,6.67,1.13,20.57,18.43,2.14
57,46.67,47.50,94.33,95.74,-1.41,0.71,0.00,0.71,4.96,4.26,0.70,0.00,0.00,0.00,74.47,73.64,0.83,4.96,4.26,0.70,20.57,22.09,-1.52
58,47.50,48.33,95.65,95.29,0.36,0.00,0.00,0.00,4.35,4.71,-0.36,0.00,0.00,0.00,71.74,75.69,-3.95,4.35,4.71,-0.36,23.91,19.61,4.30
59,48.33,49.17,90.78,93.02,-2.24,1.42,0.00,1.42,7.80,6.98,0.82,0.71,0.00,0.71,78.72,70.54,8.18,7.80,6.98,0.82,13.48,22.48,-9.00
60,49.17,50.00,97.83,93.73,4.10,0.72,0.00,0.72,1.45,6.27,-4.82,0.72,0.00,0.72,71.01,73.33,-2.32,1.45,6.27,-4.82,27.54,20.39,7.15
61,50.00,50.83,94.33,93.73,0.60,0.71,0.00,0.71,4.96,6.27,-1.31,0.71,0.00,0.71,78.01,75.29,2.72,4.96,6.27,-1.31,17.02,18.43,-1.41
62,50.83,51.67,95.04,92.25,2.79,0.00,0.00,0.00,4.96,7.75,-2.79,0.00,0.00,0.00,70.21,75.19,-4.98,4.96,7.75,-2.79,24.82,17.05,7.77
63,51.67,52.50,94.93,96.86,-1.93,0.00,0.00,0.00,5.07,3.14,1.93,0.00,0.00,0.00,72.46,75.69,-3.23,5.07,3.14,1.93,22.46,21.18,1.28
64,52.50,53.33,94.33,95.35,-1.02,0.71,0.00,0.71,4.96,4.65,0.31,0.71,0.00,0.71,70.92,74.81,-3.89,4.96,4.65,0.31,24.11,20.54,3.57
65,53.33,54.17,93.48,98.43,-4.95,0.00,0.00,0.00,6.52,1.57,4.95,0.00,0.00,0.00,76.09,75.29,0.80,6.52,1.57,4.95,17.39,23.14,-5.75
66,54.17,55.00,95.74,95.35,0.39,0.71,0.00,0.71,3.55,4.65,-1.10,0.00,0.00,0.00,75.89,78.68,-2.79,3.55,4.65,-1.10,20.57,16.67,3.90
67,55.00,55.83,95.74,94.51,1.23,0.00,0.00,0.00,4.26,5.49,-1.23,0.00,0.00,0.00,76.60,74.51,2.09,4.26,5.49,-1.23,19.15,20.00,-0.85
68,55.83,56.67,97.83,94.96,2.87,0.72,0.00,0.72,1.45,5.04,-3.59,0.00,0.00,0.00,76.81,79.46,-2.65,1.45,5.04,-3.59,21.74,15.50,6.24
69,56.67,57.50,97.16,94.12,3.04,0.00,0.00,0.00,2.84,5.88,-3.04,0.00,0.00,0.00,77.30,72.94,4.36,2.84,5.88,-3.04,19.86,21.18,-1.32
70,57.50,58.33,94.93,93.80,1.13,0.00,0.00,0.00,5.07,6.20,-1.13,0.00,0.00,0.00,72.46,69.77,2.69,5.07,6.20,-1.13,22.46,24.03,-1.57
71,58.33,59.17,93.62,95.29,-1.67,0.00,0.00,0.00,6.38,4.71,1.67,0.00,0.00,0.00,73.05,76.47,-3.42,6.38,4.71,1.67,20.57,18.82,1.75
72,59.17,60.00,92.20,94.19,-1.99,0.00,0.00,0.00,7.80,5.81,1.99,0.00,0.00,0.00,76.60,72.48,4.12,7.80,5.81,1.99,15.60,21.71,-6.11
73,60.00,60.83,83.33,94.51,-11.18,11.59,0.00,11.59,5.07,5.49,-0.42,5.07,0.00,5.07,71.01,70.59,0.42,5.07,5.49,-0.42,23.91,23.92,-0.01
74,60.83,61.67,89.36,94.19,-4.83,7.09,0.00,7.09,3.55,5.81,-2.26,2.13,0.00,2.13,76.60,72.87,3.73,3.55,5.81,-2.26,19.86,21.32,-1.46
75,61.67,62.50,95.65,92.55,3.10,0.72,0.00,0.72,3.62,7.45,-3.83,0.00,0.00,0.00,76.81,75.69,1.12,3.62,7.45,-3.83,19.57,16.86,2.71
76,62.50,63.33,95.74,92.64,3.10,1.42,1.94,-0.52,2.84,5.43,-2.59,1.42,1.16,0.26,80.14,74.42,5.72,2.84,5.43,-2.59,17.02,20.16,-3.14
77,63.33,64.17,95.74,93.33,2.41,1.42,0.00,1.42,2.84,6.67,-3.83,0.71,0.00,0.71,75.18,70.59,4.59,2.84,6.67,-3.83,21.99,22.75,-0.76
78,64.17,65.00,90.58,86.82,3.76,0.00,8.14,-8.14,9.42,5.04,4.38,0.00,3.88,-3.88,68.12,73.64,-5.52,9.42,5.04,4.38,22.46,21.32,1.14
79,65.00,65.83,90.78,97.25,-6.47,2.84,0.00,2.84,6.38,2.75,3.63,0.71,0.00,0.71,75.89,75.69,0.20,6.38,2.75,3.63,17.73,21.57,-3.84
80,65.83,66.67,93.48,90.98,2.50,2.90,1.96,0.94,3.62,7.06,-3.44,0.72,1.57,-0.85,73.91,70.98,2.93,3.62,7.06,-3.44,22.46,21.96,0.50
81,66.67,67.50,96.45,78.29,18.16,0.00,13.57,-13.57,3.55,8.14,-4.59,0.00,6.20,-6.20,74.47,72.09,2.38,3.55,8.14,-4.59,21.99,19.77,2.22
