sanity_reason,spliceai_bin,gene,group,count
PS3_but_VUS,<0.20,BRCA1,vus,338
PS3_but_VUS,<0.20,BRCA2,vus,103
pathogenic_and_benign_evidence,0.20-0.49,BRCA1,benign,101
PP3_with_BS3,0.20-0.49,BRCA1,benign,101
pathogenic_and_benign_evidence,0.50-0.79,BRCA1,benign,13
PP3_with_BS3,0.50-0.79,BRCA1,benign,13
pathogenic_and_benign_evidence,>=0.80,BRCA1,benign,9
PP3_with_BS3,>=0.80,BRCA1,benign,9
PS3_but_VUS,0.20-0.49,BRCA1,vus,4
pathogenic_and_benign_evidence,0.20-0.49,BRCA2,vus,4
pathogenic_and_benign_evidence,0.20-0.49,BRCA2,benign,3
PP3_with_BS3,0.20-0.49,BRCA2,benign,3
PS3_but_VUS,0.50-0.79,BRCA1,vus,2
pathogenic_and_benign_evidence,0.20-0.49,BRCA1,vus,2
pathogenic_and_benign_evidence,<0.20,BRCA1,pathogenic,1
pathogenic_and_benign_evidence,0.50-0.79,BRCA1,vus,1
pathogenic_and_benign_evidence,<0.20,BRCA1,vus,1
pathogenic_and_benign_evidence,>=0.80,BRCA2,vus,1
pathogenic_and_benign_evidence,>=0.80,BRCA2,benign,1
PP3_with_BS3,>=0.80,BRCA2,benign,1
pathogenic_and_benign_evidence,0.50-0.79,BRCA2,benign,1
PP3_with_BS3,0.50-0.79,BRCA2,benign,1
pathogenic_and_benign_evidence,<0.20,BRCA2,benign,1
PS3_but_VUS,0.20-0.49,BRCA2,vus,1
pathogenic_and_benign_evidence,<0.20,BRCA2,vus,1
PVS1_but_VUS,<0.20,BRCA2,vus,1
