gene,group,label,boundary_distance_bin,total_variants,spliceai_ge_0_20,percent
both,benign,Benign/Likely Benign,0,83,6,7.23
both,benign,Benign/Likely Benign,1-2,261,9,3.45
both,benign,Benign/Likely Benign,3-5,487,4,0.82
both,benign,Benign/Likely Benign,6-10,861,14,1.63
both,benign,Benign/Likely Benign,11-20,1686,36,2.14
both,benign,Benign/Likely Benign,21-50,3516,55,1.56
both,benign,Benign/Likely Benign,51-100,2793,4,0.14
both,benign,Benign/Likely Benign,>100,27265,0,0.00
both,vus,VUS,0,171,100,58.48
both,vus,VUS,1-2,255,85,33.33
both,vus,VUS,3-5,337,54,16.02
both,vus,VUS,6-10,509,38,7.47
both,vus,VUS,11-20,1027,114,11.10
both,vus,VUS,21-50,2755,206,7.48
both,vus,VUS,51-100,2273,156,6.86
both,vus,VUS,>100,827,113,13.66
both,pathogenic,Likely Pathogenic/Pathogenic,0,34,28,82.35
both,pathogenic,Likely Pathogenic/Pathogenic,1-2,60,24,40.00
both,pathogenic,Likely Pathogenic/Pathogenic,3-5,40,8,20.00
both,pathogenic,Likely Pathogenic/Pathogenic,6-10,70,11,15.71
both,pathogenic,Likely Pathogenic/Pathogenic,11-20,161,34,21.12
both,pathogenic,Likely Pathogenic/Pathogenic,21-50,359,77,21.45
both,pathogenic,Likely Pathogenic/Pathogenic,51-100,250,18,7.20
both,pathogenic,Likely Pathogenic/Pathogenic,>100,1467,11,0.75
