gene,cluster,n_bins,cds_start_min,cds_end_max,mean_benign_fraction,mean_vus_fraction,mean_pathogenic_fraction,mean_spliceai_ge_0_20_fraction,mean_near_boundary_fraction,mean_pvs1_fraction,mean_pp3_fraction,mean_bs3_fraction,mean_bp1_fraction
BRCA1,1,19,1,5545,0.6391,0.2800,0.0809,0.0820,0.2857,0.0481,0.0711,0.6797,0.0067
BRCA1,2,80,327,4893,0.9466,0.0071,0.0464,0.0035,0.0019,0.0463,0.0029,0.0164,0.9449
BRCA1,3,5,793,4939,0.8300,0.1169,0.0530,0.0360,0.0000,0.0516,0.0244,0.1918,0.8200
BRCA1,4,2,4195,4287,0.2305,0.7198,0.0496,0.0036,0.0213,0.0496,0.0036,0.0532,0.1631
BRCA1,5,14,280,5592,0.6883,0.2647,0.0469,0.1393,0.3411,0.0438,0.1235,0.0585,0.6463
BRCA2,1,2,1,9573,0.2364,0.7268,0.0368,0.0310,0.3197,0.0349,0.0291,0.0175,0.2190
BRCA2,2,81,171,10257,0.9420,0.0085,0.0494,0.0036,0.0052,0.0495,0.0034,0.0037,0.9411
BRCA2,3,10,257,9658,0.8879,0.0676,0.0445,0.0399,0.2794,0.0441,0.0359,0.0058,0.8863
BRCA2,4,24,7437,9487,0.0419,0.8997,0.0584,0.0602,0.1122,0.0554,0.0535,0.0273,0.0011
BRCA2,5,3,86,9744,0.5939,0.3477,0.0584,0.1100,0.0543,0.0584,0.0931,0.0078,0.5861
